Россия Авангард Курск 2012 Гаврилов Мина Богданович 60
Украина Арсенал Киев 1963 Вишняков Софрон Иосипович 7
Украина Арсенал Киев 1996 Гуляев Евстафий Игнатович 13
Россия Балтика Калининград 2019 Прохоров Олег Эдгардович 50
Украина Верес Львов 2003 Колобов Измаил Марсович 34
Украина Волынь Луцк 1974 Комаров Ферапонт Дорофеевич 44
Украина Ворскла Полтава 1960 Суворов Вениамин Валентинович 18
Украина Ворскла Полтава 1979 Лебедев Силантий Филиппович 44
Украина Ворскла Полтава 2016 Евсеев Пимен Авдеевич 64
Украина Говерла-Закарпатье Ужгород 1987 Некрасов Мариан Измаилович 25
Украина Десна Чернигов 1960 Исаков Иосиф Феликсович 16
Украина Десна Чернигов 1998 Симонов Зосима Геннадиевич 16
Украина Десна Чернигов 1967 Комиссаров Фома Викторович 49
Украина Динамо Киев 1980 Евсеев Тарас Валентинович 16
Украина Динамо Киев 2003 Блохин Мир Яковлевич 37
Россия Динамо Москва 2010 Пономарев Пров Данилович 38
Украина Днепр Днепропетровск 2017 Филиппов Давыд Филимонович 7
Украина Днепр Днепропетровск 1967 Павлов Харитон Яковлевич 51
Россия Енисей Красноярск 1962 Доронин Ефрем Игнатович 2
Россия Енисей Красноярск 1984 Капустин Изот Антипович 41
Россия Енисей Красноярск 2011 Сергеев Милен Гурьевич 45
Россия Енисей Красноярск 2013 Одинцов Касьян Авдеевич 63
Украина Звезда Кировоград 1979 Калинин Сигизмунд Даниилович 24
Россия Звезда Пермь 1958 Голубев Кондрат Юлианович 55
Украина Звезда Кировоград 1974 Гришин Терентий Дмитриевич 58
Россия Зенит Санкт-Петербург 1984 Иванов Моисей Харлампьевич 1
Россия Зенит Санкт-Петербург 1962 Евсеев Сигизмунд Ефимьевич 56
Россия Зенит Санкт-Петербург 1971 Сысоев Радислав Бориславович 60
Украина Карпаты Львов 1993 Жуков Ратмир Федотович 64
Украина Кривбасс Кривой-Рог 2002 Вишняков Владилен Ефимьевич 5
Украина Металлист Харьков 1955 Логинов Афиноген Федосеевич 54
Украина Металлист Харьков 1979 Зуев Тарас Борисович 57
Украина Металлург Запорожье 1989 Михеев Эраст Филиппович 0
Россия Металлург Липецк 1964 Осипов Митофан Феофанович 3
Украина Металлург Запорожье 2017 Марков Гостомысл Феофанович 6
Украина Металлург Донецк 1995 Лихачев Тит Игоревич 9
Украина Металлург Запорожье 1966 Смирнов Лазарь Августович 24
Украина Металлург Запорожье 1955 Морозов Станислав Ефремович 44
Украина Металлург Донецк 1963 Муравьев Игнатий Филимонович 47
